team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,Port Elizabeth,Chennai Super Kings,0.5799086757990868,0.5512820512820513,2,-3
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,OUTsurance Oval,Bloemfontein,Delhi Capitals,0.4419642857142857,0.49261083743842365,1,-1
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Centurion,Kolkata Knight Riders,0.5799086757990868,0.5110132158590308,2,9
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru,0.4711111111111111,0.4419642857142857,3,8
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,Durban,Kolkata Knight Riders,0.5110132158590308,0.49261083743842365,2,0
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Kingsmead,Durban,Chennai Super Kings,0.5799086757990868,0.43891402714932126,1,2
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,SuperSport Park,Centurion,Delhi Capitals,0.4419642857142857,0.5512820512820513,1,-3
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,New Wanderers Stadium,Johannesburg,Royal Challengers Bengaluru,0.4711111111111111,0.5799086757990868,3,-10
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.49261083743842365,4,1
Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Capitals,0.43891402714932126,0.4419642857142857,14,1
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.4711111111111111,40,6
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Capitals,0.49261083743842365,0.4419642857142857,6,1
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.43891402714932126,20,-1
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Kolkata,Chennai Super Kings,0.5110132158590308,0.5799086757990868,40,-9
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Mumbai Indians,0.4419642857142857,0.5512820512820513,19,-3
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.49261083743842365,20,1
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Chennai Super Kings,0.4419642857142857,0.5799086757990868,19,-8
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,0.49261083743842365,0.5110132158590308,6,0
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Royal Challengers Bengaluru,0.5512820512820513,0.4711111111111111,4,5
Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai,Punjab Kings,0.5799086757990868,0.43891402714932126,28,2
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.5110132158590308,4,12
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.5799086757990868,20,-10
Punjab Kings,Rajasthan Royals,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,0.43891402714932126,0.49261083743842365,14,-4
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians,0.5799086757990868,0.5512820512820513,0,-3
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Delhi Capitals,0.4711111111111111,0.4419642857142857,20,8
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kolkata Knight Riders,0.43891402714932126,0.5110132158590308,14,-9
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,0.49261083743842365,0.5799086757990868,6,-3
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.5110132158590308,19,-3
Mumbai Indians,Punjab Kings,Mumbai Indians,field,Brabourne Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.43891402714932126,4,2
